N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"74,100",500,-0.67%,100,"4,423,609","5,969,783",51.68,"5,353,156",15.60,9.99,
2,SK하이닉스,"102,500","1,500",-1.44%,"5,000","746,202","728,002",46.19,"1,688,397",12.82,9.53,
3,NAVER,"419,000","4,500",-1.06%,100,"688,264","164,263",56.78,"166,637",4.17,15.22,
4,카카오,"148,000","1,500",-1.00%,100,"658,167","444,707",32.00,"460,327",137.93,2.70,
5,삼성바이오로직스,"949,000","5,000",-0.52%,"2,500","627,906","66,165",10.53,"21,172",187.55,N/A,
6,삼성전자우,"69,400",700,-1.00%,100,"571,083","822,887",75.21,"314,836",14.61,N/A,
7,LG화학,"768,000","20,000",-2.54%,"5,000","542,149","70,592",47.34,"140,178",20.69,2.93,
8,삼성SDI,"764,000","1,000",-0.13%,"5,000","525,361","68,765",44.73,"63,838",56.61,4.54,
9,현대차,"206,500","3,500",-1.67%,"5,000","441,225","213,668",28.54,"192,447",14.96,2.04,
10,셀트리온,"295,500","11,000",+3.87%,"1,000","407,597","137,935",20.90,"657,871",69.28,16.68,
11,카카오뱅크,"83,500",100,+0.12%,"5,000","396,709","475,100",5.27,"929,989",270.23,5.08,
12,기아,"81,700",300,-0.37%,"5,000","331,182","405,363",33.61,"278,589",9.54,5.05,
13,POSCO,"314,500","7,000",-2.18%,"5,000","274,203","87,187",53.95,"109,703",7.11,3.61,
14,현대모비스,"269,000","2,000",+0.75%,"5,000","254,993","94,793",35.49,"59,152",11.54,4.66,
15,삼성물산,"132,500",500,+0.38%,100,"247,625","186,887",15.09,"65,914",15.11,3.81,
16,크래프톤,"488,500","19,000",+4.05%,100,"238,867","48,898",5.80,"308,501",44.11,61.86,
17,LG전자,"139,500","2,000",-1.41%,"5,000","228,289","163,648",31.48,"251,360",16.88,13.23,
18,KB금융,"54,100",100,-0.18%,"5,000","224,952","415,808",67.61,"372,255",5.63,8.53,
19,LG생활건강,"1,420,000","9,000",+0.64%,"5,000","221,778","15,618",45.26,"8,440",29.81,17.92,
20,SK이노베이션,"235,500","3,000",-1.26%,"5,000","217,756","92,466",22.72,"80,454",-48.79,-13.58,
21,SK바이오사이언스,"278,500","7,500",-2.62%,500,"213,052","76,500",3.93,"242,351",135.66,13.25,
22,SK텔레콤,"288,000","2,500",-0.86%,500,"207,533","72,060",46.73,"50,726",13.26,6.44,
23,신한지주,"38,950",400,-1.02%,"5,000","201,216","516,600",60.19,"311,522",5.47,8.20,
24,SK,"261,500",0,0.00%,200,"183,992","70,360",19.54,"40,815",16.88,1.11,
25,HMM,"40,850",200,+0.49%,"5,000","165,603","405,392",9.75,"1,437,211",25.87,8.93,
26,SK아이이테크놀로지,"215,000","1,500",+0.70%,"1,000","153,290","71,298",9.03,"132,209",141.35,11.00,
27,한국전력,"23,800",50,-0.21%,"5,000","152,787","641,964",15.35,"524,635",12.82,2.91,
28,LG,"94,200","1,500",+1.62%,"5,000","148,178","157,301",33.26,"54,720",5.90,7.50,
29,삼성생명,"74,000",0,0.00%,500,"148,000","200,000",12.91,"59,559",6.97,3.53,
30,엔씨소프트,"674,000","35,000",-4.94%,500,"147,970","21,954",49.92,"362,516",36.18,20.83,
31,하나금융지주,"44,750",50,-0.11%,"5,000","134,358","300,242",67.93,"241,328",4.77,8.96,
32,삼성전기,"179,500",0,0.00%,"5,000","134,075","74,694",32.67,"232,170",15.65,10.92,
33,삼성에스디에스,"170,500","1,500",+0.89%,500,"131,929","77,378",11.61,"22,985",20.48,6.71,
34,아모레퍼시픽,"219,000","1,500",-0.68%,500,"128,024","58,458",33.54,"22,675",101.62,0.78,
35,포스코케미칼,"147,000","2,000",-1.34%,500,"113,871","77,463",7.85,"82,648",106.21,2.96,
36,하이브,"284,500","2,500",-0.87%,500,"111,100","39,051",16.48,"23,616",101.21,12.52,
37,KT&G,"80,900",0,0.00%,"5,000","111,070","137,292",37.11,"52,310",10.03,13.22,
38,넷마블,"128,000","1,000",+0.79%,100,"110,020","85,954",22.55,"76,498",38.45,6.35,
39,삼성화재,"231,000",500,+0.22%,500,"109,436","47,375",48.55,"21,122",11.51,4.96,
40,대한항공,"30,200",150,-0.49%,"5,000","105,042","347,821",11.25,"580,361",15.72,-7.22,
41,두산중공업,"20,200",100,+0.50%,"5,000","103,802","513,869",10.14,"1,238,052",-47.98,-37.20,
42,S-Oil,"90,300",900,-0.99%,"2,500","101,662","112,583",78.04,"32,421",11.61,-13.07,
43,고려아연,"504,000","4,000",-0.79%,"5,000","95,105","18,870",20.12,"6,469",14.75,8.37,
44,SK바이오팜,"120,000","3,000",+2.56%,500,"93,976","78,313",6.54,"255,067",-174.17,-135.18,
45,한온시스템,"16,050",200,-1.23%,100,"85,675","533,800",17.91,"328,088",63.44,5.09,
46,KT,"32,400",350,-1.07%,"5,000","84,600","261,112",44.31,"260,586",9.25,4.76,
47,한국조선해양,"117,500",500,+0.43%,"5,000","83,158","70,773",18.01,"58,253",-5.37,-7.42,
48,우리금융지주,"11,200",0,0.00%,"5,000","81,543","728,061",28.07,"388,018",5.56,5.87,
49,롯데케미칼,"237,500","2,500",-1.04%,"5,000","81,404","34,275",26.77,"36,961",6.81,1.22,
50,한화솔루션,"40,850","1,150",+2.90%,"5,000","78,137","191,278",16.84,"736,495",10.13,5.30,
51,기업은행,"10,350",50,-0.48%,"5,000","77,035","744,301",12.91,"170,625",5.07,6.44,
52,LG디스플레이,"20,100",0,0.00%,"5,000","71,921","357,816",17.20,"528,131",6.05,-0.79,
53,현대글로비스,"190,000",500,-0.26%,500,"71,250","37,500",34.59,"52,575",10.57,12.45,
54,CJ제일제당,"441,000","4,000",+0.92%,"5,000","66,389","15,054",24.35,"11,011",15.37,13.50,
55,현대제철,"48,000",350,-0.72%,"5,000","64,054","133,446",20.60,"146,434",26.52,-2.59,
56,LG유플러스,"14,000",100,-0.71%,"5,000","61,126","436,611",32.99,"286,242",10.56,6.46,
57,금호석유,"191,500","2,500",+1.32%,"5,000","58,346","30,468",20.33,"56,284",4.54,20.18,
58,강원랜드,"27,200",150,-0.55%,500,"58,192","213,940",19.53,"236,183",-61.82,-7.92,
59,현대건설,"51,500",700,-1.34%,"5,000","57,348","111,356",21.11,"165,945",46.44,1.84,
60,F&F,"747,000","11,000",+1.49%,500,"57,231","7,661",10.75,"8,629",N/A,N/A,
61,SKC,"150,500","2,000",-1.31%,"5,000","56,992","37,868",12.88,"77,660",130.87,2.21,
62,한국타이어앤테크놀로지,"45,650",250,-0.54%,500,"56,549","123,875",41.77,"47,355",9.16,5.12,
63,미래에셋증권,"8,740",50,+0.58%,"5,000","55,527","635,316",13.89,"320,061",6.96,8.94,
